id,question,answer,explanation,difficulty
1,"예금자보호법에 따라 은행 예금은 1인당 5,000만원까지 보호된다.",O,"예금자보호법에 따라 은행 예금은 1인당 원금과 이자를 합하여 5,000만원까지 보호됩니다.",1
2,"주식투자의 수익은 항상 보장된다.",X,"주식투자는 위험이 있어 수익이 보장되지 않습니다. 주가 변동에 따라 손실이 발생할 수 있습니다.",1
3,"복리는 이자에 이자가 붙는 방식이다.",O,"복리는 원금뿐만 아니라 이자에도 이자가 붙어 시간이 지날수록 이자가 기하급수적으로 늘어나는 방식입니다.",2
4,"인플레이션은 화폐의 구매력을 높인다.",X,"인플레이션은 화폐의 가치를 떨어뜨려 구매력을 낮춥니다.",2
5,"주택청약통장은 누구나 가입할 수 있다.",O,"주택청약통장은 나이와 무관하게 누구나 가입할 수 있습니다. 단, 청약 자격은 별도의 조건이 있습니다.",1
6,"ETF는 개별 주식처럼 실시간으로 매매할 수 있다.",O,"ETF(상장지수펀드)는 주식시장에 상장되어 있어 개별 주식처럼 실시간 매매가 가능합니다.",2
7,"원/달러 환율이 상승하면 수출기업에 유리하다.",O,"원/달러 환율 상승 시 동일한 달러화 수출액에 대해 더 많은 원화를 받을 수 있어 수출기업에 유리합니다.",3
8,"모든 국가의 중앙은행은 기준금리를 결정할 수 있다.",X,"유로존과 같은 통화동맹의 경우, 개별 국가의 중앙은행이 아닌 유럽중앙은행(ECB)이 기준금리를 결정합니다.",3
9,"주식의 시가총액은 발행주식 수와 주가를 곱한 값이다.",O,"시가총액은 해당 기업의 발행주식 총수와 현재 주가를 곱한 값으로, 기업의 전체 가치를 나타냅니다.",2
10,"청약통장 가입 시 의무 납입기간이 있다.",X,"청약통장에는 의무 납입기간이 없습니다. 다만, 청약 자격을 얻기 위한 최소 가입기간은 있을 수 있습니다.",2
11,"신용카드 결제일은 변경할 수 없다.",X,"신용카드 결제일은 카드사와 협의하여 변경할 수 있습니다.",1
12,"부동산 투자는 항상 안전한 투자방법이다.",X,"부동산 시장도 변동성이 있으며 항상 안전하다고 할 수 없습니다.",2
13,"물가상승률이 높으면 화폐의 실질가치는 떨어진다.",O,"물가상승률이 높아지면 같은 금액으로 구매할 수 있는 상품의 양이 줄어들어 실질가치가 떨어집니다.",1
14,"연금저축은 세액공제를 받을 수 있는 금융상품이다.",O,"연금저축에 납입한 금액에 대해 세액공제를 받을 수 있어 세금 부담을 줄일 수 있습니다.",2
15,"모든 대출상품은 금리가 고정되어 있다.",X,"대출상품에는 고정금리와 변동금리가 있으며 상황에 따라 다릅니다.",2
16,"CPI는 소비자 물가 지수를 의미한다.",O,"CPI(소비자 물가 지수)는 소비자가 구입하는 상품과 서비스의 가격 변동을 측정하는 지표입니다.",1
17,"신용카드 포인트는 현금처럼 사용할 수 있다.",X,"신용카드 포인트는 현금과 동일한 가치는 아니며 특정 조건에서만 사용 가능합니다.",2
18,"주식 배당금에는 세금이 부과되지 않는다.",X,"주식 배당금은 소득세가 부과되며 세율은 개인의 소득 수준에 따라 달라집니다.",2
19,"모든 금융상품은 원금 보장이 된다.",X,"대부분의 금융상품은 원금 보장이 되지 않으며 특히 주식이나 펀드는 손실 위험이 있습니다.",3
20,"주택담보대출의 LTV는 대출금액을 담보가치로 나눈 비율이다.",O,"LTV(Loan To Value)는 대출 금액을 담보 가치로 나눈 비율로 대출 한도를 결정하는 데 사용됩니다.",2
21,"모든 보험상품은 중도해지가 가능하다.",X,"보험상품마다 중도해지 조건이 다르며 일부 상품은 중도해지가 불가능할 수도 있습니다.",3
22,"주식시장에서 '블루칩'은 우량기업의 주식을 의미한다.",O,"블루칩 주식은 안정적이고 신뢰성이 높은 대기업의 주식을 의미합니다.",1
23,"신용등급이 높을수록 대출이 유리하다.",O,"신용등급이 높으면 대출 금리가 낮아지고 대출 한도가 늘어나는 등 유리한 조건을 제공합니다.",2
24,"펀드 투자 시 원금이 보장된다.",X,"펀드는 투자 성과에 따라 원금을 잃을 위험이 있으며 원금 보장은 없습니다.",3
25,"주식시장에서 '상한가'는 하루 동안 오를 수 있는 최대 가격을 의미한다.",O,"상한가는 하루 동안 주식 가격이 상승할 수 있는 최대 한도를 의미합니다.",2
26,"모든 금융상품의 수익률은 세전 기준으로 표시된다.",X,"일부 금융상품은 세후 기준으로 표시되기도 하며 투자자는 세금을 고려해야 합니다.",3
27,"연말정산은 매년 1월에 진행된다.",X,"연말정산은 일반적으로 2월에서 3월 사이에 진행됩니다.",1
28,"주식투자에서 '분산투자'는 위험을 줄이는 방법 중 하나이다.",O,"분산투자는 여러 자산에 투자하여 특정 자산의 위험을 줄이는 전략입니다.",2
29,"신용카드 현금서비스는 일반 대출보다 이자율이 낮다.",X,"신용카드 현금서비스는 일반적으로 높은 이자율을 적용받습니다.",2
30,"연금을 받기 위해서는 반드시 정해진 나이에 도달해야 한다.",O,"연금을 받기 위한 최소 연령 요건이 있으며 보통 만 55세 이상이어야 합니다.",3
31,"모든 대출상품에는 중도상환수수료가 없다.",X,"대출 상품마다 중도상환수수료가 있을 수 있으며 조건에 따라 다릅니다.",3
32,"보험료는 나이가 많을수록 일반적으로 비싸진다.",O,"보험료는 가입자의 나이에 따라 증가하는 경향이 있으며 나이가 많을수록 보험료가 비쌉니다.",1
33,"부동산 투자는 항상 안전한 투자방법이다.",X,"부동산 시장도 변동성이 있으며 항상 안전하다고 할 수 없습니다.",2
34,"주식 거래 시 증권거래세가 부과된다.",O,"주식을 거래할 때 증권거래세가 부과되며 이는 거래 금액의 일정 비율입니다.",1
35,"모든 금융상품에는 가입 시 초기 비용이 발생한다.",X,"일부 금융상품에는 초기 비용이나 가입비가 없기도 합니다.",3
36,"신용카드 결제일 연기는 항상 가능하다.",X,"결제일 연기는 카드사와 협의해야 하며 모든 경우에 허용되지 않습니다.",2
37,"모든 금융상품은 가입 즉시 해지가 가능하다.",X,"가입 후 일정 기간 동안 해지가 불가능한 상품도 존재합니다.",3
38,"주식투자에서 'PER'이 낮을수록 저평가된 주식으로 볼 수 있다.",O,"PER(Price Earnings Ratio)가 낮으면 상대적으로 저평가된 주식으로 판단될 수 있습니다.",2
39,"연금을 받기 위해서는 반드시 정해진 나이에 도달해야 한다.",O,"연금을 받기 위한 최소 연령 요건이 있으며 보통 만 55세 이상이어야 합니다.",3
40,"CPI는 소비자 물가 지수를 의미한다.",O,"CPI(소비자 물가 지수)는 소비자가 구입하는 상품과 서비스의 가격 변동을 측정하는 지표입니다.",1
41,"신용카드 포인트는 현금처럼 사용할 수 있다",X,"신용카드 포인트는 현금과 동일한 가치는 아니며 특정 조건에서만 사용 가능합니다.",2
42,"주식 배당금에는 세금이 부과되지 않는다",X,"주식 배당금은 소득세가 부과되며 세율은 개인의 소득 수준에 따라 달라집니다.",2
43,"모든 금융상품은 원금 보장이 된다",X,"대부분의 금융상품은 원금 보장이 되지 않으며 특히 주식이나 펀드는 손실 위험이 있습니다.",3
44,"주택담보대출의 LTV는 대출금액을 담보가치로 나눈 비율이다",O,"LTV(Loan To Value)는 대출 금액을 담보 가치로 나눈 비율로 대출 한도를 결정하는 데 사용됩니다.",2
45,"모든 보험상품은 중도해지가 가능하다",X,"보험상품마다 중도해지 조건이 다르며 일부 상품은 중도해지가 불가능할 수도 있습니다.",3
46,"주식시장에서 블루칩은 우량기업의 주식을 의미한다",O,"블루칩 주식은 안정적이고 신뢰성이 높은 대기업의 주식을 의미합니다.",1
47,"신용등급이 높을수록 대출이 유리하다",O,"신용등급이 높으면 대출 금리가 낮아지고 대출 한도가 늘어나는 등 유리한 조건을 제공합니다.",2
48,"펀드 투자 시 원금이 보장된다",X,"펀드는 투자 성과에 따라 원금을 잃을 위험이 있으며 원금 보장은 없습니다.",3
49,"주식시장에서 상한가는 하루 동안 오를 수 있는 최대 가격을 의미한다",O,"상한가는 하루 동안 주식 가격이 상승할 수 있는 최대 한도를 의미합니다.",2
50,"모든 금융상품의 수익률은 세전 기준으로 표시된다",X,"일부 금융상품은 세후 기준으로 표시되기도 하며 투자자는 세금을 고려해야 합니다.",3
51,"연말정산은 매년 1월에 진행된다",X,"연말정산은 일반적으로 2월에서 3월 사이에 진행됩니다.",1
52,"주식투자에서 분산투자는 위험을 줄이는 방법 중 하나이다",O,"분산투자는 여러 자산에 투자하여 특정 자산의 위험을 줄이는 전략입니다.",2
53,"신용카드 현금서비스는 일반 대출보다 이자율이 낮다",X,"신용카드 현금서비스는 일반적으로 높은 이자율을 적용받습니다.",2
54,"연금을 받기 위해서는 반드시 정해진 나이에 도달해야 한다",O,"연금을 받기 위한 최소 연령 요건이 있으며 보통 만 55세 이상이어야 합니다.",3
55,"모든 대출상품에는 중도상환수수료가 없다",X,"대출 상품마다 중도상환수수료가 있을 수 있으며 조건에 따라 다릅니다.",3
56,"보험료는 나이가 많을수록 일반적으로 비싸진다",O,"보험료는 가입자의 나이에 따라 증가하는 경향이 있으며 나이가 많을수록 보험료가 비쌉니다.",1
57,"부동산 투자는 항상 안전한 투자방법이다",X,"부동산 시장도 변동성이 있으며 항상 안전하다고 할 수 없습니다.",2
58,"주식 거래 시 증권거래세가 부과된다",O,"주식을 거래할 때 증권거래세가 부과되며 이는 거래 금액의 일정 비율입니다.",1
59,"모든 금융상품에는 가입 시 초기 비용이 발생한다",X,"일부 금융상품에는 초기 비용이나 가입비가 없기도 합니다.",3
60,"신용카드 결제일 연기는 항상 가능하다",X,"결제일 연기는 카드사와 협의해야 하며 모든 경우에 허용되지 않습니다.",2
61,"모든 금융상품은 가입 즉시 해지가 가능하다",X,"가입 후 일정 기간 동안 해지가 불가능한 상품도 존재합니다.",3
62,"주식투자에서 PER이 낮을수록 저평가된 주식으로 볼 수 있다",O,"PER(Price Earnings Ratio)가 낮으면 상대적으로 저평가된 주식으로 판단될 수 있습니다.",2
63,"연금을 받기 위해서는 반드시 정해진 나이에 도달해야 한다",O,"연금을 받기 위한 최소 연령 요건이 있으며 보통 만 55세 이상이어야 합니다.",3
64,"CPI는 소비자 물가 지수를 의미한다",O,"CPI(소비자 물가 지수)는 소비자가 구입하는 상품과 서비스의 가격 변동을 측정하는 지표입니다.",1
65,"신용카드 포인트는 현금처럼 사용할 수 있다",X,"신용카드 포인트는 현금과 동일한 가치는 아니며 특정 조건에서만 사용 가능합니다.",2
66,"주식 배당금에는 세금이 부과되지 않는다",X,"주식 배당금은 소득세가 부과되며 세율은 개인의 소득 수준에 따라 달라집니다.",2
67,"모든 금융상품은 원금 보장이 된다",X,"대부분의 금융상품은 원금 보장이 되지 않으며 특히 주식이나 펀드는 손실 위험이 있습니다.",3
68,"주택담보대출의 LTV는 대출금액을 담보가치로 나눈 비율이다",O,"LTV(Loan To Value)는 대출 금액을 담보 가치로 나눈 비율로 대출 한도를 결정하는 데 사용됩니다.",2
69,"모든 보험상품은 중도해지가 가능하다",X,"보험상품마다 중도해지 조건이 다르며 일부 상품은 중도해지가 불가능할 수도 있습니다.",3
70,"주식시장에서 블루칩은 우량기업의 주식을 의미한다",O,"블루칩 주식은 안정적이고 신뢰성이 높은 대기업의 주식을 의미합니다.",1
71,"신용등급이 높을수록 대출이 유리하다",O,"신용등급이 높으면 대출 금리가 낮아지고 대출 한도가 늘어나는 등 유리한 조건을 제공합니다.",2
72,"펀드 투자 시 원금이 보장된다",X,"펀드는 투자 성과에 따라 원금을 잃을 위험이 있으며 원금 보장은 없습니다.",3
73,"주식시장에서 상한가는 하루 동안 오를 수 있는 최대 가격을 의미한다",O,"상한가는 하루 동안 주식 가격이 상승할 수 있는 최대 한도를 의미합니다.",2
74,"모든 금융상품의 수익률은 세전 기준으로 표시된다",X,"일부 금융상품은 세후 기준으로 표시되기도 하며 투자자는 세금을 고려해야 합니다.",3
75,"연말정산은 매년 1월에 진행된다",X,"연말정산은 일반적으로 2월에서 3월 사이에 진행됩니다.",1
76,"주식투자에서 분산투자는 위험을 줄이는 방법 중 하나이다",O,"분산투자는 여러 자산에 투자하여 특정 자산의 위험을 줄이는 전략입니다.",2
77,"신용카드 현금서비스는 일반 대출보다 이자율이 낮다",X,"신용카드 현금서비스는 일반적으로 높은 이자율을 적용받습니다.",2
78,"연금을 받기 위해서는 반드시 정해진 나이에 도달해야 한다",O,"연금을 받기 위한 최소 연령 요건이 있으며 보통 만 55세 이상이어야 합니다.",3
79,"모든 대출상품에는 중도상환수수료가 없다",X,"대출 상품마다 중도상환수수료가 있을 수 있으며 조건에 따라 다릅니다.",3
80,"보험료는 나이가 많을수록 일반적으로 비싸진다",O,"보험료는 가입자의 나이에 따라 증가하는 경향이 있으며 나이가 많을수록 보험료가 비쌉니다.",1
81,"부동산 투자는 항상 안전한 투자방법이다",X,"부동산 시장도 변동성이 있으며 항상 안전하다고 할 수 없습니다.",2
82,"주식 거래 시 증권거래세가 부과된다",O,"주식을 거래할 때 증권거래세가 부과되며 이는 거래 금액의 일정 비율입니다.",1
83,"모든 금융상품에는 가입 시 초기 비용이 발생한다",X,"일부 금융상품에는 초기 비용이나 가입비가 없기도 합니다.",3
84,"신용카드 결제일 연기는 항상 가능하다",X,"결제일 연기는 카드사와 협의해야 하며 모든 경우에 허용되지 않습니다.",2
85,"모든 금융상품은 가입 즉시 해지가 가능하다",X,"가입 후 일정 기간 동안 해지가 불가능한 상품도 존재합니다.",3
86,"주식투자에서 PER이 낮을수록 저평가된 주식으로 볼 수 있다",O,"PER(Price Earnings Ratio)가 낮으면 상대적으로 저평가된 주식으로 판단될 수 있습니다.",2
87,"환율 변동은 수출입 기업에 직접적인 영향을 미친다",O,"환율 변동은 수출입 기업의 수익성과 경쟁력에 중요한 영향을 줍니다.",3
88,"모든 국가의 중앙은행은 독립적으로 통화정책을 결정할 수 있다",X,"일부 국가는 통화정책 결정에 정부의 영향을 받을 수 있습니다.",3
89,"GDP는 한 국가의 경제 규모를 나타내는 지표이다",O,"국내총생산(GDP)은 한 국가의 경제 규모와 경제 성장을 측정하는 중요한 지표입니다.",1
90,"인플레이션율이 높으면 화폐 가치가 상승한다",X,"인플레이션율이 높으면 화폐의 구매력과 가치가 오히려 하락합니다.",2
91,"주식 배당금은 기업의 이익 분배 방식 중 하나이다",O,"기업은 주주들에게 이익의 일부를 배당금 형태로 분배할 수 있습니다.",1
92,"모든 투자 상품은 원금 손실의 위험이 있다",O,"투자에는 항상 원금 손실의 위험이 존재합니다.",2
93,"신용등급은 개인의 금융 신뢰도를 나타내는 지표이다",O,"신용등급은 개인의 신용도와 대출 상환 능력을 평가하는 중요한 지표입니다.",1
94,"금리 인상은 항상 경제에 부정적인 영향을 미친다",X,"금리 인상은 상황에 따라 긍정적 또는 부정적 영향을 줄 수 있습니다.",3
95,"ETF는 특정 지수를 추종하는 투자 상품이다",O,"ETF(상장지수펀드)는 특정 주가지수의 움직임을 그대로 따라가는 투자 상품입니다.",2
96,"복리는 원금에만 이자가 붙는 방식이다",X,"복리는 원금과 이전에 발생한 이자에도 새로운 이자가 붙는 방식입니다.",2
97,"국제 무역에서 무역수지는 수출액과 수입액의 차이를 의미한다",O,"무역수지는 한 국가의 수출액에서 수입액을 뺀 금액입니다.",3
98,"모든 보험 상품은 세금 혜택이 있다",X,"일부 보험 상품만 세금 혜택을 받을 수 있습니다.",2
99,"주식 시장에서 '공매도'는 주가 상승을 예상할 때 사용하는 전략이다",X,"공매도는 주가 하락을 예상할 때 사용하는 투자 전략입니다.",3
100,"연금 저축은 노후 대비를 위한 금융 상품이다",O,"연금 저축은 은퇴 후 안정적인 수입을 위해 설계된 금융 상품입니다.",1
101,"주식시장에서 '우선주'는 '보통주'보다 의결권이 강하다",X,"우선주는 일반적으로 의결권이 없거나 제한적이지만 배당에서 우선권을 가집니다.",3
102,"모든 국가의 화폐 가치는 동일하다",X,"각 국가의 화폐 가치는 경제 상황, 정책 등에 따라 다릅니다.",1
103,"부동산 투자에서 '갭투자'는 전세금으로 매매대금을 충당하는 방식이다",O,"갭투자는 전세금과 매매가격의 차액만큼만 자금을 투입하는 투자 방식입니다.",2
104,"주식 거래 시 증권거래세는 매수할 때만 부과된다",X,"증권거래세는 주식을 매도할 때 부과됩니다.",2
105,"모든 은행의 예금 금리는 동일하다",X,"은행마다 예금 상품과 금리가 다를 수 있습니다.",1
106,"주식회사의 주주는 회사 부채에 대해 무한책임을 진다",X,"주식회사의 주주는 자신이 투자한 금액 한도 내에서만 책임을 집니다.",2
107,"국민연금은 의무적으로 가입해야 하는 공적연금이다",O,"국민연금은 법에 따라 의무적으로 가입해야 하는 공적연금 제도입니다.",1
108,"모든 대출은 고정금리로만 제공된다",X,"대출에는 고정금리와 변동금리 옵션이 있습니다.",2
109,"주식시장에서 '스톱로스'는 손실을 제한하는 전략이다",O,"스톱로스는 주가가 일정 수준 이하로 떨어지면 자동으로 매도하여 손실을 제한하는 전략입니다.",2
110,"펀드 투자 시 펀드 매니저의 과거 실적이 미래 수익을 보장한다",X,"과거 실적이 좋다고 해서 반드시 미래의 수익을 보장하지는 않습니다.",3
111,"주택담보대출의 DTI는 소득 대비 대출금액의 비율이다",X,"DTI는 소득 대비 모든 대출의 연간 원리금 상환액 비율을 의미합니다.",3
112,"모든 보험 상품은 중도 해지가 가능하다",O,"대부분의 보험 상품은 중도 해지가 가능하지만, 해지 시 불이익이 있을 수 있습니다.",2
113,"주식시장에서 '시가총액'이 큰 기업일수록 안전한 투자대상이다",X,"시가총액이 크다고 해서 반드시 안전한 투자대상은 아닙니다.",2
114,"연금보험의 수익률은 항상 물가상승률보다 높다",X,"연금보험의 수익률이 물가상승률보다 낮을 수 있습니다.",3
115,"신용카드 현금서비스는 이자가 발생하지 않는다",X,"현금서비스는 일반적으로 높은 이자율이 적용됩니다.",1
116,"주식시장에서 '52주 신고가'는 과거 1년 동안의 최고 주가를 의미한다",O,"52주 신고가는 최근 52주 동안의 최고 주가를 의미합니다.",2
117,"모든 대출은 거치기간 없이 즉시 상환을 시작해야 한다",X,"일부 대출 상품은 거치기간을 제공합니다.",2
118,"펀드 투자 시 환매 수수료는 법적으로 의무 사항이다",X,"환매 수수료는 펀드에 따라 다르며, 없는 경우도 있습니다.",3
119,"주식투자에서 '기관투자자'는 개인투자자보다 항상 높은 수익률을 낸다",X,"기관투자자라고 해서 항상 높은 수익률을 내는 것은 아닙니다.",3
120,"보험 가입 시 계약 전 알릴 의무를 위반하면 보험금 지급이 거절될 수 있다",O,"중요한 사항을 고의로 알리지 않거나 사실과 다르게 알린 경우 보험금 지급이 거절될 수 있습니다.",2
121,"주식시장에서 '거래정지'는 해당 주식의 거래가 일시적으로 중단되는 것을 의미한다",O,"거래정지는 특정 사유로 인해 일시적으로 주식 거래가 중단되는 것을 의미합니다.",2
122,"모든 대출은 소득이 있어야만 받을 수 있다",X,"담보대출 등 일부 대출은 소득 증빙 없이도 가능할 수 있습니다.",2
123,"연금저축은 중도해지 시 세금을 추가로 납부해야 할 수 있다",O,"연금저축을 중도해지하면 세금 혜택을 받은 금액에 대해 추가 과세될 수 있습니다.",3
124,"주식투자에서 'ROE'는 자기자본이익률을 의미한다",O,"ROE(Return On Equity)는 자기자본이익률을 나타내는 지표입니다.",3
125,"신용카드 포인트는 영구적으로 유효하다",X,"대부분의 신용카드 포인트는 유효기간이 있습니다.",1
126,"주식시장에서 '스톡옵션'은 임직원에게 주어지는 주식 매수 권리를 의미한다",O,"스톡옵션은 회사가 임직원에게 부여하는 주식 매입 권리입니다.",2
127,"모든 보험상품은 보험금 청구 시 즉시 지급된다",X,"보험금 지급에는 심사 과정이 필요하며 즉시 지급되지 않을 수 있습니다.",2
128,"펀드 투자 시 펀드 매니저의 과거 실적이 미래 수익을 보장한다",X,"과거 실적이 좋다고 해서 반드시 미래의 수익을 보장하지는 않습니다.",3
129,"주택담보대출의 DSR은 총 소득 대비 모든 대출의 원리금 상환액 비율이다",O,"DSR(총부채원리금상환비율)은 연간 소득 대비 모든 대출의 연간 원리금 상환액 비율을 의미합니다.",3
130,"신용카드 할부 결제는 이자가 발생하지 않는다",X,"대부분의 할부 결제에는 이자가 발생합니다.",1
131,"주식투자에서 '액면분할'은 주가를 낮추고 유동성을 높이는 효과가 있다",O,"액면분할은 주식 수를 늘리고 주가를 낮춰 거래 유동성을 높이는 효과가 있습니다.",2
132,"모든 금융상품은 가입 시 수수료가 발생한다",X,"수수료가 없는 금융상품도 존재합니다.",2
133,"연금보험은 중도해지 시 원금이 보장된다",X,"중도해지 시 원금 손실이 발생할 수 있습니다.",2
134,"주식투자에서 '골든크로스'는 단기 이동평균선이 장기 이동평균선을 상향 돌파하는 것을 의미한다",O,"골든크로스는 주가 상승의 신호로 여겨지는 차트 패턴입니다.",3
135,"신용카드 결제일은 변경할 수 없다",X,"대부분의 신용카드사는 결제일 변경을 허용합니다.",1
136,"주식시장에서 '시초가'는 당일 장 시작 시 첫 거래 가격을 의미한다",O,"시초가는 장 시작 시 첫 거래가 이루어진 가격을 의미합니다.",2
137,"모든 대출은 고정금리로만 제공된다",X,"변동금리 대출도 존재합니다.",2
138,"펀드 투자 시 펀드 유형에 따라 위험도가 다르다",O,"펀드 유형에 따라 투자 대상과 전략이 다르므로 위험도도 다릅니다.",2
139,"주식투자에서 '우회상장'은 비상장기업이 상장기업을 인수하여 상장하는 방식이다",O,"우회상장은 비상장기업이 이미 상장된 기업을 인수하여 상장 지위를 얻는 방법입니다.",3
140,"보험 가입 시 보험료는 나이와 상관없이 동일하다",X,"일반적으로 나이가 많을수록 보험료가 높아집니다.",1
141,"주식시장에서 '관리종목'은 상장폐지 가능성이 있는 주식을 의미한다",O,"관리종목은 재무상태 악화 등으로 상장폐지 가능성이 있는 주식을 의미합니다.",2
142,"모든 대출은 소득증빙이 필요하다",X,"담보대출 등 일부 대출은 소득증빙 없이도 가능할 수 있습니다.",2
143,"연금저축은 납입한 원금만큼만 세제혜택을 받을 수 있다",X,"연금저축은 연간 납입한 금액에 대해 세액공제 혜택을 받을 수 있습니다.",3
144,"주식투자에서 'PBR'은 주가를 주당순자산으로 나눈 비율이다",O,"PBR(Price Book-value Ratio)은 주가와 주당순자산의 비율을 나타냅니다.",3
